BHK,Rent,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Current Floor,Total Floors
2,10000,1100,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,2.0,4.0
2,20000,800,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,1.0,3.0
2,17000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,1.0,3.0
2,10000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,1.0,2.0
2,7500,850,Carpet Area,Kolkata,Unfurnished,Bachelors,1,1.0,2.0
2,7000,600,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,2.0,4.0
2,10000,700,Super Area,Kolkata,Unfurnished,Bachelors,2,2.0,4.0
1,5000,250,Super Area,Kolkata,Unfurnished,Bachelors,1,1.0,2.0
2,26000,800,Carpet Area,Kolkata,Unfurnished,Bachelors,2,1.0,2.0
2,10000,1000,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,1.0,3.0
3,25000,1200,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,1.0,4.0
1,5000,400,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,1.0,1.0
1,6500,250,Carpet Area,Kolkata,Furnished,Bachelors,1,1.0,4.0
1,5500,375,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,1.0,2.0
3,8500,900,Carpet Area,Kolkata,Unfurnished,Bachelors,2,2.0,4.0
3,40000,1286,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,1.0,1.0
2,6000,600,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,1.0,2.0
2,10000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,2.0,4.0
2,11000,2000,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,2.0,4.0
2,6000,660,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,1.0,2.0
2,7900,650,Carpet Area,Kolkata,Unfurnished,Family,1,1.0,2.0
2,9000,400,Carpet Area,Kolkata,Unfurnished,Bachelors,2,2.0,3.0
1,4000,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,2.0,4.0
3,6500,1600,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,2.0,4.0
1,8000,400,Super Area,Kolkata,Semi-Furnished,Bachelors,1,1.0,2.0
2,7000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,1.0,1.0
1,5300,355,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,1.0,1.0
2,6000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,2.0,4.0
2,8500,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,4.0,5.0
2,12500,850,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,2.0,4.0
1,7500,350,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,2.0,4.0
2,15000,900,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,2.0,4.0
2,6000,550,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,1.0,1.0
2,5000,500,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,2.0,4.0
3,22000,1100,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,2.0,3.0
2,15000,850,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,1.0,2.0
2,12500,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1,2.0,2.0
2,7000,630,Carpet Area,Kolkata,Unfurnished,Bachelors,1,2.0,4.0
2,21000,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2,1.0,2.0
1,10000,270,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,1.0,2.0
2,7200,630,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,2.0,4.0
3,12000,1500,Carpet Area,Kolkata,Furnished,Bachelors,2,2.0,4.0
1,5000,600,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,2.0,5.0
2,8500,700,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,4.0,14.0
1,6000,300,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,2.0,4.0
2,10000,1300,Super Area,Kolkata,Semi-Furnished,Family,2,2.0,4.0
2,4600,400,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,3.0,3.0
2,12000,650,Super Area,Kolkata,Unfurnished,Family,2,2.0,4.0
3,30000,2000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,2.0,4.0
3,15000,1068,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,2.0,4.0
1,7500,150,Super Area,Kolkata,Furnished,Bachelors/Family,1,1.0,1.0
1,7500,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1,2.0,2.0
2,5000,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,2.0,4.0
2,15000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,2.0,4.0
2,11000,900,Super Area,Kolkata,Semi-Furnished,Bachelors,1,5.0,5.0
1,7000,600,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,2.0,4.0
2,6000,1200,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,1.0,1.0
2,6000,1200,Super Area,Kolkata,Semi-Furnished,Bachelors,2,2.0,2.0
2,7000,650,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,2.0,4.0
2,8500,720,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,4.0,4.0
