BHK,Rent,Size,City,Bathroom,Area Type_Carpet Area,Area Type_Super Area,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Floor Number,Total Floors
2,10000,1100,4,2,0,1,1,0,0,1,0,2
2,20000,800,4,1,0,1,1,0,1,0,1,3
2,17000,1000,4,1,0,1,1,0,1,0,1,3
2,10000,800,4,1,0,1,1,0,0,1,1,2
2,7500,850,4,1,1,0,0,0,0,1,1,2
2,7000,600,4,2,0,1,1,0,0,1,0,1
2,10000,700,4,2,0,1,0,0,0,1,0,4
1,5000,250,4,1,0,1,0,0,0,1,1,2
2,26000,800,4,2,1,0,0,0,0,1,1,2
2,10000,1000,4,2,1,0,1,0,1,0,1,3
3,25000,1200,4,2,1,0,1,0,1,0,1,4
1,5000,400,4,1,1,0,1,0,0,1,1,1
1,6500,250,4,1,1,0,0,0,0,0,1,4
1,5500,375,4,1,1,0,1,0,0,1,1,2
3,8500,900,4,2,1,0,0,0,0,1,0,2
3,40000,1286,4,2,1,0,1,0,0,0,1,1
2,6000,600,4,1,0,1,1,0,1,0,1,2
2,10000,800,4,1,0,1,1,0,0,1,0,2
2,11000,2000,4,1,1,0,1,0,0,1,0,3
2,6000,660,4,1,0,1,1,0,0,1,1,2
2,7900,650,4,1,1,0,0,1,0,1,1,2
2,9000,400,4,2,1,0,0,0,0,1,2,3
1,4000,300,4,1,1,0,1,0,0,1,0,4
3,6500,1600,4,1,0,1,1,0,0,1,0,2
1,8000,400,4,1,0,1,0,0,1,0,1,2
2,7000,1000,4,1,0,1,1,0,0,1,1,1
1,5300,355,4,1,1,0,1,0,1,0,1,1
2,6000,1000,4,1,0,1,1,0,1,0,0,3
2,8500,800,4,1,0,1,1,0,0,1,4,5
2,12500,850,4,2,0,1,1,0,0,1,0,2
1,7500,350,4,1,1,0,1,0,0,1,0,2
2,15000,900,4,2,1,0,1,0,0,1,0,2
2,6000,550,4,1,0,1,1,0,1,0,1,1
2,5000,500,4,2,1,0,1,0,0,1,0,2
3,22000,1100,4,1,1,0,1,0,0,1,2,3
2,15000,850,4,1,1,0,1,0,1,0,1,2
2,12500,800,4,1,1,0,0,0,0,1,2,2
2,7000,630,4,1,1,0,0,0,0,1,0,3
2,21000,900,4,2,1,0,0,0,1,0,1,2
1,10000,270,4,1,1,0,1,0,1,0,1,2
2,7200,630,4,1,1,0,1,0,1,0,0,1
3,12000,1500,4,2,1,0,0,0,0,0,0,2
1,5000,600,4,1,0,1,1,0,0,1,2,5
2,8500,700,4,1,1,0,1,0,1,0,4,14
1,6000,300,4,1,0,1,1,0,1,0,0,3
2,10000,1300,4,2,0,1,0,1,1,0,0,1
2,4600,400,4,1,1,0,0,0,1,0,3,3
2,12000,650,4,2,0,1,0,1,0,1,0,1
3,30000,2000,4,2,0,1,1,0,1,0,0,2
3,15000,1068,4,2,0,1,1,0,1,0,0,3
1,7500,150,4,1,0,1,1,0,0,0,1,1
1,7500,450,4,1,1,0,0,0,0,1,2,2
2,5000,800,4,1,1,0,1,0,0,1,0,1
2,15000,1000,4,2,0,1,1,0,0,1,0,2
2,11000,900,4,1,0,1,0,0,1,0,5,5
1,7000,600,4,1,1,0,1,0,0,1,0,2
2,6000,1200,4,1,0,1,1,0,0,1,1,1
2,6000,1200,4,2,0,1,0,0,1,0,2,2
2,7000,650,4,2,0,1,1,0,1,0,0,3
2,8500,720,4,2,1,0,1,0,1,0,4,4
1,5000,300,4,1,1,0,0,0,0,1,1,3
3,30000,1200,4,3,1,0,1,0,0,1,0,2
2,10000,700,4,2,1,0,1,0,0,1,7,8
3,30000,2000,4,2,0,1,1,0,1,0,1,3
1,3500,250,4,1,0,1,1,0,1,0,0,4
2,8000,1100,4,1,1,0,0,0,0,1,0,3
1,5000,300,4,1,1,0,1,0,0,1,0,2
2,7500,600,4,1,0,1,1,0,1,0,0,2
2,6500,800,4,1,1,0,1,0,0,1,0,2
1,7500,680,4,1,0,1,1,0,0,1,1,3
1,7500,680,4,1,0,1,1,0,0,1,0,2
2,16000,850,4,1,1,0,0,0,1,0,1,4
2,16000,850,4,1,1,0,0,0,1,0,1,2
2,6500,700,4,1,0,1,0,0,0,1,0,2
3,40000,1500,4,2,0,1,1,0,0,1,0,2
2,12500,950,4,2,0,1,1,0,1,0,1,4
2,5500,500,4,1,0,1,1,0,0,1,0,2
1,5000,450,4,1,1,0,1,0,1,0,2,4
2,6500,700,4,1,0,1,0,0,0,1,0,2
1,8000,500,4,1,0,1,1,0,0,1,1,2
3,14500,1800,4,2,0,1,1,0,1,0,0,2
1,8200,500,4,1,1,0,1,0,1,0,1,3
2,15000,480,4,2,1,0,1,0,0,0,0,3
6,20000,1000,4,2,0,1,1,0,1,0,1,1
2,6700,800,4,1,0,1,1,0,0,0,1,2
1,10000,435,4,1,0,1,1,0,0,1,2,3
2,7000,700,4,2,1,0,1,0,1,0,0,2
2,22000,800,4,1,0,1,1,0,0,0,4,4
2,6500,450,4,1,0,1,1,0,0,1,1,3
2,8500,550,4,1,1,0,1,0,1,0,2,3
2,18000,800,4,2,1,0,0,0,0,1,0,4
2,12000,550,4,2,1,0,0,1,1,0,0,2
1,9000,600,4,1,0,1,1,0,0,0,2,4
1,6000,500,4,1,0,1,1,0,0,1,0,1
2,20000,1000,4,2,0,1,1,0,0,0,1,2
1,5000,300,4,1,1,0,1,0,0,1,1,2
2,12000,1200,4,2,0,1,1,0,0,0,1,3
2,10000,500,4,1,1,0,1,0,1,0,3,4
4,18000,1200,4,2,0,1,0,1,0,1,1,2
2,15000,900,4,2,1,0,1,0,1,0,1,2
3,22000,1300,4,3,1,0,1,0,0,1,0,2
4,35000,1600,4,3,1,0,1,0,0,1,1,5
3,21000,1450,4,2,0,1,0,1,0,1,0,1
2,25000,1100,4,2,0,1,0,0,0,0,2,2
2,180000,950,4,2,1,0,1,0,0,1,0,1
1,6000,600,4,1,1,0,1,0,0,1,8,5
2,14000,700,4,2,1,0,1,0,0,1,0,2
3,8000,750,4,1,0,1,0,1,0,1,0,2
2,8000,1000,4,1,0,1,1,0,0,1,0,1
1,6000,220,4,1,0,1,1,0,0,0,0,2
1,8000,300,4,1,1,0,0,0,1,0,1,3
1,6000,300,4,1,1,0,1,0,0,1,0,1
1,20000,700,4,1,0,1,1,0,1,0,1,2
3,12000,800,4,2,0,1,1,0,0,1,0,1
3,15000,1600,4,2,0,1,1,0,0,1,1,3
2,14000,1000,4,2,1,0,1,0,0,1,1,3
1,5000,20,4,1,0,1,1,0,0,1,2,3
2,7000,400,4,1,1,0,1,0,0,1,0,2
1,3900,200,4,1,0,1,1,0,0,0,2,2
3,14000,840,4,2,1,0,0,0,0,1,1,4
1,6300,300,4,1,1,0,1,0,0,1,1,1
2,13000,550,4,2,1,0,1,0,0,0,1,2
1,6800,300,4,1,1,0,1,0,0,1,1,2
2,8000,800,4,2,0,1,1,0,0,1,1,1
2,10000,740,4,1,1,0,0,0,0,1,0,6
2,18000,1300,4,2,0,1,1,0,0,1,1,1
2,8000,650,4,1,0,1,1,0,1,0,0,1
2,8000,490,4,1,0,1,1,0,1,0,1,1
1,4700,250,4,1,0,1,1,0,0,0,2,2
1,4700,250,4,1,0,1,1,0,0,0,0,1
1,4500,450,4,1,0,1,1,0,0,1,1,2
1,6000,300,4,1,1,0,1,0,1,0,0,1
2,16000,750,4,2,0,1,1,0,0,1,1,3
1,4700,250,4,1,0,1,1,0,0,0,1,2
2,14000,751,4,1,1,0,0,0,0,1,3,3
2,9000,900,4,1,1,0,0,0,1,0,0,2
2,5000,400,4,1,1,0,1,0,1,0,1,3
2,17500,1000,4,2,1,0,1,0,1,0,0,2
2,8500,1000,4,1,1,0,1,0,0,1,0,1
3,15000,1500,4,2,1,0,0,1,1,0,1,1
2,12500,750,4,2,1,0,1,0,0,1,1,3
1,13000,1200,4,1,0,1,1,0,1,0,2,4
2,8000,700,4,1,0,1,1,0,0,1,0,1
2,8000,700,4,1,1,0,1,0,0,0,4,4
2,8000,1000,4,1,0,1,1,0,1,0,0,2
2,7000,1200,4,2,0,1,1,0,0,1,1,3
2,2200,550,4,1,0,1,1,0,0,0,2,3
2,8000,800,4,1,1,0,0,0,0,1,0,4
2,5500,280,4,1,0,1,0,0,0,1,1,3
3,20000,1100,4,3,0,1,1,0,0,1,0,2
2,7000,950,4,1,0,1,1,0,0,1,0,2
1,3500,250,4,1,0,1,1,0,0,0,1,2
2,5000,1000,4,1,1,0,0,0,0,1,0,2
3,20000,1000,4,2,1,0,1,0,1,0,0,2
2,7000,650,4,1,0,1,1,0,0,1,0,2
2,10000,700,4,2,0,1,1,0,0,1,1,2
2,7000,700,4,1,1,0,0,0,0,1,0,3
3,12000,1000,4,2,0,1,1,0,1,0,0,3
2,14500,900,4,2,1,0,0,0,0,1,1,4
1,6000,700,4,1,0,1,1,0,0,1,1,2
2,9500,700,4,2,0,1,1,0,0,1,1,2
2,10000,450,4,2,1,0,1,0,1,0,2,1
1,3500,120,4,1,0,1,1,0,0,1,0,3
2,9000,800,4,2,0,1,1,0,1,0,1,2
3,40000,1220,4,2,1,0,1,0,0,1,2,3
3,16500,1100,4,1,0,1,1,0,0,1,0,3
3,8000,700,4,2,1,0,0,1,0,1,0,3
2,12000,800,4,1,0,1,1,0,0,0,0,3
2,6500,670,4,1,0,1,0,1,0,1,2,2
4,40000,1300,4,3,0,1,1,0,0,1,1,2
1,5000,190,4,1,0,1,1,0,1,0,0,2
2,9000,700,4,1,0,1,1,0,1,0,0,2
1,7000,240,4,1,1,0,0,0,0,1,0,4
2,18000,850,4,1,1,0,0,1,1,0,2,4
1,9000,950,4,2,0,1,1,0,0,1,1,2
1,5500,450,4,1,1,0,1,0,0,0,1,2
2,7500,800,4,1,1,0,0,0,0,1,0,2
2,4000,600,4,1,1,0,1,0,0,1,1,2
3,10500,800,4,2,1,0,0,0,0,1,2,2
3,15000,1100,4,2,1,0,1,0,0,1,0,2
2,15000,800,4,1,1,0,1,0,0,0,0,2
1,50000,2200,4,3,0,1,1,0,0,0,2,5
2,12000,950,4,2,1,0,0,0,0,1,1,1
2,11000,550,4,1,1,0,1,0,0,1,2,3
2,12000,1800,4,2,1,0,0,0,0,1,1,1
2,8000,1000,4,1,0,1,1,0,0,0,0,2
2,18000,600,4,2,0,1,1,0,1,0,0,3
2,8000,750,4,2,1,0,1,0,1,0,2,4
2,7000,685,4,1,0,1,1,0,0,1,2,3
1,6500,44,4,1,1,0,1,0,0,0,0,1
4,13000,1200,4,1,1,0,1,0,0,1,0,2
2,9000,500,4,1,1,0,0,0,0,1,0,2
4,10000,1110,4,2,1,0,1,0,0,1,2,2
2,12000,1000,4,2,0,1,1,0,0,1,1,3
2,5000,392,4,1,0,1,1,0,0,1,0,2
2,6000,700,4,1,0,1,1,0,0,1,1,2
1,5200,750,4,1,0,1,1,0,0,1,2,4
3,15000,1500,4,2,0,1,0,1,0,1,1,2
2,9000,900,4,2,0,1,1,0,0,1,0,1
1,24000,710,4,1,0,1,0,0,0,0,1,1
1,5500,400,4,1,1,0,1,0,0,1,0,3
1,10000,700,4,1,1,0,0,0,0,1,1,2
2,15000,1000,4,1,1,0,1,0,1,0,0,2
1,4700,250,4,1,0,1,1,0,0,0,1,2
1,5000,500,4,1,1,0,1,0,1,0,0,3
2,5000,450,4,1,1,0,1,0,1,0,2,2
3,15000,1400,4,1,0,1,1,0,0,1,1,3
1,5000,500,4,1,1,0,1,0,1,0,1,1
2,6000,700,4,1,1,0,1,0,0,1,0,1
3,18000,1200,4,1,1,0,1,0,1,0,1,3
2,8000,450,4,1,1,0,0,0,0,1,1,2
1,13000,500,4,1,1,0,0,0,0,0,2,2
2,7500,400,4,1,1,0,1,0,0,1,0,1
3,12000,1000,4,2,0,1,1,0,0,1,0,1
2,11000,750,4,1,1,0,0,0,0,1,0,1
1,6000,450,4,1,0,1,0,1,0,1,0,2
3,20000,1000,4,2,1,0,0,0,0,1,1,2
2,7000,500,4,2,1,0,0,0,0,1,1,1
4,30000,1600,4,2,1,0,0,0,0,1,0,1
2,7500,550,4,1,1,0,0,0,0,1,0,1
1,6500,550,4,2,0,1,1,0,0,1,1,2
1,3000,200,4,1,0,1,1,0,0,1,2,3
2,5200,650,4,1,1,0,0,0,0,1,1,2
2,25000,1000,4,2,0,1,1,0,0,0,1,1
2,12500,680,4,2,1,0,1,0,0,1,0,2
2,8500,720,4,2,1,0,1,0,0,1,0,1
2,3500,500,4,1,1,0,0,0,0,1,4,5
2,7000,800,4,1,0,1,1,0,0,1,0,2
1,3000,160,4,1,0,1,1,0,0,1,0,1
2,14000,1200,4,2,1,0,1,0,0,1,1,2
1,18000,700,4,1,0,1,1,0,0,0,0,4
1,3500,1000,4,1,0,1,1,0,1,0,0,1
2,16000,1250,4,2,0,1,1,0,0,1,0,1
4,35000,1600,4,3,0,1,1,0,0,1,0,3
2,21000,700,4,1,0,1,1,0,1,0,0,2
1,4500,450,4,1,0,1,1,0,0,1,0,2
2,15000,839,4,2,0,1,1,0,1,0,1,3
1,4500,230,4,1,0,1,1,0,0,1,0,3
1,5500,1800,4,1,0,1,1,0,0,1,0,2
2,8500,800,4,2,0,1,1,0,0,1,1,2
1,5000,500,4,1,1,0,1,0,1,0,0,1
2,8500,620,4,1,1,0,0,0,0,1,0,1
2,9000,650,4,1,1,0,1,0,0,1,2,3
1,7500,550,4,1,0,1,1,0,1,0,1,2
2,7000,450,4,2,1,0,0,0,0,0,1,3
3,15000,1350,4,2,1,0,0,1,0,1,1,2
2,7000,600,4,2,0,1,1,0,1,0,2,2
3,10000,1200,4,1,0,1,1,0,0,0,2,4
2,7000,700,4,1,0,1,1,0,0,1,1,2
3,3200,800,4,2,1,0,1,0,0,0,1,3
2,6000,600,4,1,1,0,1,0,1,0,0,3
2,12000,900,4,2,0,1,1,0,0,1,1,3
2,6000,750,4,1,0,1,1,0,0,1,0,1
3,10000,1250,4,2,0,1,1,0,0,1,1,2
3,12000,1000,4,3,0,1,1,0,1,0,2,2
2,8000,600,4,1,0,1,1,0,1,0,0,2
2,5300,650,4,1,1,0,1,0,0,1,1,1
2,5000,450,4,1,1,0,0,0,0,1,2,3
3,8500,800,4,2,0,1,1,0,0,1,0,2
3,22000,1000,4,2,1,0,1,0,1,0,0,3
2,7000,1000,4,1,0,1,1,0,0,1,0,3
3,25000,1400,4,3,1,0,0,0,0,0,5,5
2,7000,600,4,1,1,0,0,0,1,0,1,4
2,15000,723,4,1,1,0,0,1,0,0,0,3
1,6000,320,4,1,1,0,1,0,0,1,0,2
2,8000,900,4,1,0,1,1,0,1,0,0,3
3,40000,1400,4,2,1,0,1,0,0,0,0,2
1,6000,2160,4,1,0,1,0,0,1,0,1,2
2,15000,650,4,1,1,0,1,0,1,0,0,2
2,6500,800,4,1,0,1,1,0,1,0,1,1
3,8000,800,4,1,0,1,1,0,1,0,2,3
1,5500,500,4,1,1,0,1,0,0,1,0,2
3,9000,1700,4,2,0,1,1,0,1,0,1,2
1,6000,130,4,1,1,0,1,0,1,0,0,2
1,15000,505,4,1,0,1,1,0,0,0,0,3
4,30000,4000,4,3,0,1,1,0,0,0,0,3
3,30000,1250,4,2,0,1,1,0,0,1,0,2
1,5000,700,4,1,1,0,1,0,0,1,0,2
2,15000,900,4,1,0,1,0,0,0,1,0,1
1,6500,650,4,1,0,1,1,0,1,0,1,1
2,4500,750,4,1,0,1,1,0,0,0,0,1
2,7000,450,4,1,1,0,1,0,0,1,0,3
1,6500,350,4,1,1,0,1,0,1,0,1,2
1,17500,480,4,2,1,0,0,0,0,0,1,2
2,10000,900,4,1,0,1,1,0,0,1,0,3
1,1500,200,4,1,0,1,1,0,1,0,0,2
3,25000,1100,4,3,0,1,1,0,0,1,2,3
2,12000,800,4,1,1,0,1,0,0,1,1,2
3,7500,1000,4,2,1,0,1,0,0,0,0,2
1,7000,800,4,1,1,0,1,0,0,1,1,2
1,3500,200,4,1,0,1,1,0,1,0,0,4
3,10000,1190,4,2,1,0,1,0,0,1,1,2
2,14000,900,4,2,1,0,0,0,0,1,0,2
2,15000,1500,4,2,0,1,1,0,0,1,0,2
2,6500,600,4,1,0,1,1,0,0,1,2,3
3,10000,800,4,1,0,1,1,0,0,1,0,4
2,10500,800,4,2,1,0,0,1,0,1,1,2
3,10000,900,4,2,1,0,1,0,1,0,0,3
1,5000,350,4,1,1,0,1,0,1,0,0,3
2,9000,800,4,1,1,0,1,0,0,1,0,2
2,20000,1600,4,2,1,0,0,0,0,1,0,3
3,35000,1012,4,2,1,0,1,0,1,0,2,3
3,15000,1200,4,2,1,0,0,0,0,1,0,2
2,20000,700,4,1,0,1,1,0,0,0,1,2
2,12000,1000,4,1,0,1,1,0,1,0,1,3
2,8000,800,4,1,1,0,0,0,0,1,0,3
1,3000,500,4,1,0,1,1,0,1,0,0,1
3,20000,1200,4,2,1,0,0,0,1,0,0,1
1,9000,450,4,1,1,0,0,0,0,1,0,2
3,13000,950,4,2,1,0,1,0,0,1,0,2
1,7000,350,4,1,1,0,1,0,0,1,0,2
1,9000,450,4,1,1,0,1,0,0,1,0,3
1,9000,550,4,1,1,0,0,0,1,0,0,2
2,10000,300,4,1,1,0,0,0,0,1,0,1
